업종명,업소명,소재지(도로명),소재지전화,업태명,문의전화
일반음식점,아서원,충청북도 충주시 관아1길 8-1 (성내동),043-847-3639,중국식,043-850-3473
일반음식점,중원생고기마을,충청북도 충주시 관아3길 11 (성서동),043-847-1525,식육(숯불구이),043-850-3473
일반음식점,대미식당,충청북도 충주시 금가면 대미길 59,043-853-7066,한식,043-850-3473
일반음식점,대동식당,충청북도 충주시 수안보면 온천중앙길 23-1,043-846-3406,한식,043-850-3473
일반음식점,유선분식,"충청북도 충주시 예성로 165-1, 1층 (성서동)",043-847-2003,분식,043-850-3473
일반음식점,만리식당,충청북도 충주시 수안보면 물탕2길 5,043-846-3206,한식,043-850-3473
일반음식점,목벌식당,충청북도 충주시 충인6길 31-1 (충인동),043-843-4710,한식,043-850-3473
일반음식점,충북식당,충청북도 충주시 봉계12길 32 (봉방동),043-847-6520,한식,043-850-3473
일반음식점,금미집,충청북도 충주시 충인6길 37 (충인동),043-845-2771,한식,043-850-3473
일반음식점,들림횟집,충청북도 충주시 살미면 팔봉향산길 374,043-851-0083,횟집,043-850-3473
일반음식점,장군식당,충청북도 충주시 수안보면 장터3길 18-5,043-845-8737,한식,043-850-3473
일반음식점,대소원기사님식당,충청북도 충주시 대소원면 중원대로 4385,043-852-9210,한식,043-850-3473
일반음식점,청운식당,충청북도 충주시 수안보면 물탕2길 2,043-846-2909,한식,043-850-3473
일반음식점,대봉식당,충청북도 충주시 수안보면 물탕2길 2,043-846-3404,한식,043-850-3473
일반음식점,정일멕시칸양념통닭,충청북도 충주시 수안보면 장터1길 17-2,043-846-3400,통닭(치킨),043-850-3473
일반음식점,우주식당,충청북도 충주시 애향로 87-1 (문화동),043-847-5018,한식,043-850-3473
일반음식점,은혜본가,충청북도 충주시 빙현천변1길 21 (지현동),043-845-2244,식육(숯불구이),043-850-3473
일반음식점,서울반점,충청북도 충주시 노은면 대덕길 16,043-853-3321,중국식,043-850-3473
일반음식점,솔밭식당,충청북도 충주시 주덕읍 충청대로 2301,043-848-5634,한식,043-850-3473
일반음식점,강원식당,충청북도 충주시 주덕읍 시장길 7,043-846-0406,한식,043-850-3473
일반음식점,영화식당,충청북도 충주시 수안보면 물탕1길 11,043-846-4500,한식,043-850-3473
일반음식점,주원산(山)오리촌,충청북도 충주시 수안보면 장터3길 18-6,043-846-4458,한식,043-850-3473
일반음식점,동보성,충청북도 충주시 행정13길 5-1 (목행동),043-853-3668,중국식,043-850-3473
일반음식점,김밥전문아람분식,충청북도 충주시 금릉로 102-1 (교현동),043-847-4417,분식,043-850-3473
