시도,시군구,총계-개소수(개소),총계-이용량(톤),국가공단-개소수(개소),국가공단-이용량(톤),지방공단-개소수(개소),지방공단-이용량(톤),농공단지-개소수(개소),농공단지-이용량(톤),자유입지업체-개소수(개소),자유입지업체-이용량(톤),기타-개소수(개소),기타-이용량(톤)
강원특별자치도,강릉시,73,1287978,0,0,5,13389,2,1650,47,1175234,19,97705
강원특별자치도,고성군,32,152068,0,0,0,0,2,3056,18,110389,12,38623
강원특별자치도,동해시,66,3276675,1,12000,2,2352,0,0,27,1826012,36,1436311
강원특별자치도,삼척시,47,1034990,0,0,0,0,0,0,28,484801,19,550189
강원특별자치도,속초시,71,187353,0,0,0,0,40,150058,27,34993,4,2302
강원특별자치도,양구군,22,37524,0,0,0,0,4,6188,5,13346,13,17990
강원특별자치도,양양군,26,174755,0,0,0,0,3,15500,14,89545,9,69710
강원특별자치도,영월군,35,261391,0,0,0,0,15,143834,8,29941,12,87616
강원특별자치도,원주시,143,537251,0,0,16,117976,7,55830,116,349619,4,13826
강원특별자치도,인제군,18,95629,3,21936,0,0,1,9125,8,38408,6,26160
강원특별자치도,정선군,15,35062,1,18,0,0,1,12045,6,13233,7,9766
강원특별자치도,철원군,22,230328,0,0,2,2770,6,92655,9,115500,5,19403
강원특별자치도,춘천시,56,334645,0,0,2,18175,7,88550,6,21990,41,205930
강원특별자치도,태백시,12,44684,0,0,0,0,1,0,3,20001,8,24683
강원특별자치도,평창군,32,190433,0,0,0,0,2,14600,3,3831,27,172002
강원특별자치도,홍천군,44,196514,0,0,2,49640,0,0,22,142350,20,4524
강원특별자치도,화천군,19,154621,0,0,0,0,1,10950,9,92031,9,51640
강원특별자치도,횡성군,64,608642,0,0,0,0,6,51100,43,477494,15,80048
경기도,가평군,19,106998,1,10950,3,6570,0,0,9,62315,6,27163
경기도,고양시,35,240056,3,5475,6,40168,0,0,7,138345,19,56068
경기도,광명시,22,685939,0,0,0,0,0,0,21,685574,1,365
경기도,광주시,92,250329,0,0,1,3000,1,0,17,48270,73,199059
경기도,구리시,11,5484,1,182,0,0,0,0,1,0,9,5302
경기도,군포시,3,5018,0,0,0,0,0,0,2,3218,1,1800
경기도,김포시,209,659737,0,0,7,20746,0,0,10,44717,192,594274
경기도,남양주시,105,1100047,1,1328,2,56144,1,10950,9,51550,92,980075
경기도,동두천시,34,282892,0,0,7,97547,0,0,18,147345,9,38000
경기도,부천시,42,205129,0,0,0,0,0,0,15,38734,27,166395
